CustomerID,revenue_2019,days_since_first_purchase,days_since_last_purchase,number_of_purchases,avg_order_cost,revenue_2020
12347.0,711.79,23.0,23.0,1.0,711.79,3598.21
12348.0,892.8,14.0,14.0,1.0,892.8,904.44
12370.0,1868.02,16.0,13.0,2.0,934.01,1677.67
12377.0,1001.52,10.0,10.0,1.0,1001.52,626.6
12383.0,600.72,8.0,8.0,1.0,600.72,1249.84
12386.0,258.9,22.0,22.0,1.0,258.9,143.0
12395.0,679.9200000000001,27.0,13.0,2.0,339.96000000000004,2338.71
12417.0,291.34,13.0,13.0,1.0,291.34,3357.76
12423.0,237.93,9.0,9.0,1.0,237.93,1621.38
12427.0,303.5,27.0,27.0,1.0,303.5,522.3
12429.0,1281.5,21.0,21.0,1.0,1281.5,2468.9
12431.0,773.95,29.0,13.0,2.0,386.975,5713.5
12472.0,1631.3,25.0,25.0,1.0,1631.3,4940.81
12476.0,12.45,17.0,17.0,1.0,12.45,6803.97
12481.0,791.34,21.0,10.0,2.0,395.67,4804.9800000000005
12494.0,62.55,21.0,14.0,2.0,31.275,1183.55
12540.0,881.01,17.0,17.0,1.0,881.01,12519.23
12557.0,620.0,27.0,27.0,1.0,620.0,11370.960000000001
12567.0,1942.38,25.0,23.0,2.0,971.19,7458.9
12577.0,195.89,15.0,15.0,1.0,195.89,461.90999999999997
12583.0,855.86,29.0,29.0,1.0,855.86,6425.52
12585.0,1262.85,7.0,7.0,1.0,1262.85,777.25
12600.0,274.8,27.0,13.0,2.0,137.4,2324.2400000000002
12621.0,1383.65,21.0,13.0,2.0,691.825,12306.02
12647.0,1193.6,25.0,13.0,3.0,397.8666666666666,2529.2200000000003
12662.0,261.47999999999996,29.0,29.0,1.0,261.47999999999996,3588.3
12668.0,469.87,11.0,11.0,1.0,469.87,3337.2799999999997
12678.0,221.28,9.0,9.0,1.0,221.28,17407.18
12681.0,2118.1099999999997,23.0,10.0,2.0,1059.0549999999998,11669.43
12682.0,1075.29,27.0,21.0,2.0,537.645,11212.93
12683.0,1063.08,21.0,21.0,1.0,1063.08,7413.49
12691.0,180.0,13.0,13.0,1.0,180.0,855.8
12705.0,858.0,13.0,13.0,1.0,858.0,6010.29
12708.0,196.44,24.0,24.0,1.0,196.44,2516.47
12709.0,1315.69,22.0,13.0,2.0,657.845,8420.83
12712.0,470.63,27.0,21.0,2.0,235.315,3925.5
12720.0,657.13,25.0,13.0,2.0,328.565,5124.6
12721.0,286.6,10.0,10.0,1.0,286.6,2369.5299999999997
